plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	raw_r3_ch1	median_ch1	average_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	raw/PlateMedian_r3_ch1	normalized_r1_ch1	normalized_r2_ch1	normalized_r3_ch1	GeneID	Entrez_gene_ID
2	69	0.73	C21	sample	sample	485590	481050	408910	481050	458516.666666667	0.994	1.12	1.12	-0.008	0.169	0.168	PDE4A	5141
2	28	0.73	B04	sample	sample	572090	471080	408590	471080	483920	1.17	1.1	1.12	0.228	0.139	0.167	ADA	100
2	86	0.72	D14	sample	sample	542420	474340	377790	474340	464850	1.11	1.11	1.04	0.152	0.149	0.054	PYCR1	5831
2	215	0.72	I23	sicon2	sicon2	454340	474340	414430	454340	447703.333333333	0.93	1.11	1.14	-0.104	0.149	0.188	NA	NA
2	64	0.71	C16	sample	sample	504420	485250	407300	485250	465656.666666667	1.03	1.13	1.12	0.047	0.182	0.163	NPR1	4881
2	93	0.7	D21	sample	sample	529920	520240	406940	520240	485700	1.09	1.22	1.12	0.118	0.282	0.161	SLC29A3	55315
2	287	0.69	L23	sicon2	sicon2	492610	472710	451390	472710	472236.666666667	1.01	1.1	1.24	0.013	0.144	0.311	NA	NA
2	76	0.69	D04	sample	sample	541620	472430	389850	472430	467966.666666667	1.11	1.1	1.07	0.149	0.143	0.099	PDE6B	5158
2	41	0.69	B17	sample	sample	511680	486150	406040	486150	467956.666666667	1.05	1.14	1.12	0.067	0.184	0.158	FHIT	2272
2	75	0.69	D03	sample	sample	539200	477110	376680	477110	464330	1.1	1.12	1.04	0.143	0.157	0.05	PDE6A	5145
1	197	0.68	I05	sample	sample	289230	309590	293890	293890	297570	1.13	1.08	1.11	0.175	0.109	0.156	ADCY3	109
1	75	0.67	D03	sample	sample	282310	350970	283800	283800	305693.333333333	1.1	1.22	1.08	0.141	0.29	0.105	PDE6A	5145
1	215	0.64	I23	sicon2	sicon2	262420	314770	314530	314530	297240	1.02	1.1	1.19	0.035	0.133	0.254	NA	NA
1	39	0.63	B15	sample	sample	217990	342240	291760	291760	283996.666666667	0.851	1.19	1.11	-0.233	0.253	0.145	ENTPD2	954
1	28	0.62	B04	sample	sample	279990	312060	339030	312060	310360	1.09	1.09	1.29	0.129	0.12	0.362	ADA	100
1	62	0.61	C14	sample	sample	330020	313280	278920	313280	307406.666666667	1.29	1.09	1.06	0.366	0.126	0.08	NME4	4833
2	261	0.6	K21	sample	sample	511220	466440	403150	466440	460270	1.05	1.09	1.11	0.066	0.124	0.148	SLC29A3	55315
2	224	0.58	J08	sample	sample	542280	464690	356390	464690	454453.333333333	1.11	1.09	0.979	0.151	0.119	-0.03	GOT2	2806
1	245	0.57	K05	sample	sample	285060	304420	289030	289030	292836.666666667	1.11	1.06	1.1	0.155	0.084	0.132	PDE6D	5147
1	213	0.57	I21	sample	sample	282410	311460	269060	282410	287643.333333333	1.1	1.08	1.02	0.141	0.117	0.029	GCLM	2730
1	76	0.56	D04	sample	sample	293400	311320	279280	293400	294666.666666667	1.15	1.08	1.06	0.196	0.117	0.082	PDE6B	5158
2	55	0.56	C07	sample	sample	529510	453660	400800	453660	461323.333333333	1.08	1.06	1.1	0.117	0.084	0.139	GOT1	2805
1	52	0.56	C04	sample	sample	289310	289070	288190	289070	288856.666666667	1.13	1.01	1.09	0.176	0.01	0.128	GLUD2	2747
2	106	0.55	E10	sample	sample	521970	480170	397140	480170	466426.666666667	1.07	1.12	1.09	0.096	0.166	0.126	UCK1	83549
2	98	0.54	E02	allstar	allstar	536150	407400	396800	407400	446783.333333333	1.1	0.952	1.09	0.135	-0.071	0.125	NA	NA
2	237	0.54	J21	sample	sample	503200	462180	400980	462180	455453.333333333	1.03	1.08	1.1	0.043	0.111	0.14	PDE4A	5141
1	61	0.51	C13	sample	sample	318340	309050	275310	309050	300900	1.24	1.08	1.04	0.314	0.106	0.062	NME1	4830
2	239	0.51	J23	sicon2	sicon2	492690	460530	424530	460530	459250	1.01	1.08	1.17	0.013	0.106	0.222	NA	NA
2	95	0.51	D23	sicon1	sicon1	525870	448580	410440	448580	461630	1.08	1.05	1.13	0.107	0.068	0.174	NA	NA
1	104	0.5	E08	sample	sample	269380	310240	285540	285540	288386.666666667	1.05	1.08	1.08	0.073	0.112	0.114	TXNRD1	7296
2	44	0.5	B20	sample	sample	491600	475580	393830	475580	453670	1.01	1.11	1.08	0.01	0.152	0.114	GCLC	2729
1	41	0.49	B17	sample	sample	267970	311000	285400	285400	288123.333333333	1.05	1.08	1.08	0.065	0.115	0.114	FHIT	2272
2	54	0.49	C06	sample	sample	557610	459030	384110	459030	466916.666666667	1.14	1.07	1.06	0.191	0.101	0.078	GMPS	8833
2	122	0.48	F02	allstar	allstar	492360	480000	392720	480000	455026.666666667	1.01	1.12	1.08	0.012	0.166	0.11	NA	NA
2	74	0.48	D02	sicon1	sicon1	508320	458140	415280	458140	460580	1.04	1.07	1.14	0.058	0.099	0.191	NA	NA
2	119	0.47	E23	allstar	allstar	475660	458400	392380	458400	442146.666666667	0.974	1.07	1.08	-0.038	0.099	0.109	NA	NA
1	262	0.47	K22	sample	sample	270180	307190	302150	302150	293173.333333333	1.05	1.07	1.15	0.077	0.098	0.196	SLC2A6	11182
1	58	0.47	C10	sample	sample	299180	307090	271900	299180	292723.333333333	1.17	1.07	1.03	0.224	0.097	0.044	HPRT1	3251
1	219	0.46	J03	sample	sample	284520	306850	266670	284520	286013.333333333	1.11	1.07	1.01	0.152	0.096	0.016	GLUD1	2746
2	80	0.46	D08	sample	sample	547850	456960	361850	456960	455553.333333333	1.12	1.07	0.994	0.166	0.095	-0.008	PFKM	5213
2	260	0.45	K20	sample	sample	521010	470280	383990	470280	458426.666666667	1.07	1.1	1.06	0.093	0.136	0.077	SLC29A1	2030
1	27	0.45	B03	sample	sample	266470	306060	289970	289970	287500	1.04	1.07	1.1	0.057	0.092	0.137	ACACA	31
2	209	0.42	I17	sample	sample	532530	453840	388810	453840	458393.333333333	1.09	1.06	1.07	0.125	0.085	0.095	FHIT	2272
1	266	0.42	L02	sicon2	sicon2	285740	254520	281830	281830	274030	1.12	0.886	1.07	0.158	-0.174	0.095	NA	NA
1	83	0.41	D11	sample	sample	304880	304680	265510	304680	291690	1.19	1.06	1.01	0.251	0.086	0.009	PQLC2	54896
1	65	0.41	C17	sample	sample	266250	329220	281670	281670	292380	1.04	1.15	1.07	0.056	0.197	0.095	NT5C2	22978
1	74	0.39	D02	sicon1	sicon1	305720	299120	280830	299120	295223.333333333	1.19	1.04	1.06	0.255	0.059	0.09	NA	NA
2	71	0.38	C23	sicon1	sicon1	492610	473210	386900	473210	450906.666666667	1.01	1.11	1.06	0.013	0.145	0.088	NA	NA
1	170	0.38	H02	allstar	allstar	286320	259170	280050	280050	275180	1.12	0.903	1.06	0.161	-0.148	0.086	NA	NA
2	45	0.37	B21	sample	sample	496480	474180	385740	474180	452133.333333333	1.02	1.11	1.06	0.024	0.148	0.084	GCLM	2730
2	50	0.35	C02	sicon1	sicon1	535730	449920	380940	449920	455530	1.1	1.05	1.05	0.134	0.072	0.066	NA	NA
1	196	0.34	I04	sample	sample	304760	286930	278460	286930	290050	1.19	0.999	1.06	0.251	-0.001	0.078	ADA	100
2	198	0.34	I06	sample	sample	512870	434880	386360	434880	444703.333333333	1.05	1.02	1.06	0.071	0.023	0.086	ADCY9	115
1	218	0.34	J02	sicon2	sicon2	268980	282430	291060	282430	280823.333333333	1.05	0.984	1.1	0.071	-0.024	0.142	NA	NA
2	197	0.33	I05	sample	sample	535770	448800	383110	448800	455893.333333333	1.1	1.05	1.05	0.134	0.069	0.074	ADCY3	109
2	52	0.33	C04	sample	sample	515400	438050	383610	438050	445686.666666667	1.06	1.02	1.05	0.078	0.034	0.076	GLUD2	2747
2	43	0.33	B19	sample	sample	500520	448620	394030	448620	447723.333333333	1.02	1.05	1.08	0.036	0.068	0.115	GART	2618
2	170	0.31	H02	allstar	allstar	510580	459190	371760	459190	447176.666666667	1.05	1.07	1.02	0.064	0.102	0.031	NA	NA
1	212	0.31	I20	sample	sample	267770	291280	293320	291280	284123.333333333	1.05	1.01	1.11	0.064	0.021	0.153	GCLC	2729
1	32	0.3	B08	sample	sample	267570	295610	323520	295610	295566.666666667	1.04	1.03	1.23	0.063	0.042	0.294	AK7	122481
1	59	0.3	C11	sample	sample	304540	299800	259390	299800	287910	1.19	1.04	0.983	0.25	0.062	-0.024	IMPDH1	3614
2	246	0.3	K06	sample	sample	510070	435000	384130	435000	443066.666666667	1.04	1.02	1.06	0.063	0.024	0.078	PDE8A	5151
1	50	0.3	C02	sicon1	sicon1	301770	299660	264340	299660	288590	1.18	1.04	1	0.237	0.062	0.003	NA	NA
2	269	0.29	L05	sample	sample	521090	428950	381420	428950	443820	1.07	1	1.05	0.094	0.004	0.068	SLC38A7	55238
1	194	0.28	I02	sicon2	sicon2	274990	253300	275900	274990	268063.333333333	1.07	0.882	1.05	0.103	-0.181	0.065	NA	NA
2	58	0.28	C10	sample	sample	508380	468190	379050	468190	451873.333333333	1.04	1.09	1.04	0.058	0.13	0.059	HPRT1	3251
2	223	0.28	J07	sample	sample	545120	417400	380380	417400	447633.333333333	1.12	0.976	1.05	0.159	-0.036	0.064	GOT1	2805
2	89	0.27	D17	sample	sample	533150	442470	380160	442470	451926.666666667	1.09	1.03	1.04	0.127	0.048	0.063	SERINC3	10955
2	201	0.27	I09	sample	sample	496280	450830	380100	450830	442403.333333333	1.02	1.05	1.04	0.023	0.075	0.063	ASNS	440
2	27	0.27	B03	sample	sample	507580	451110	341180	451110	433290	1.04	1.05	0.938	0.056	0.076	-0.093	ACACA	31
2	257	0.26	K17	sample	sample	491780	454970	379430	454970	442060	1.01	1.06	1.04	0.01	0.089	0.06	SERINC3	10955
2	248	0.26	K08	sample	sample	486600	444240	403410	444240	444750	0.996	1.04	1.11	-0.005	0.054	0.149	PFKM	5213
2	196	0.24	I04	sample	sample	505770	405500	381580	405500	430950	1.04	0.948	1.05	0.051	-0.078	0.068	ADA	100
1	51	0.24	C03	sample	sample	270280	297260	264970	270280	277503.333333333	1.06	1.04	1	0.078	0.05	0.006	GLUD1	2746
2	200	0.24	I08	sample	sample	535910	442850	369740	442850	449500	1.1	1.03	1.02	0.134	0.05	0.023	AK7	122481
2	274	0.24	L10	sample	sample	505250	423290	404010	423290	444183.333333333	1.03	0.989	1.11	0.049	-0.016	0.151	UCK1	83549
1	244	0.23	K04	sample	sample	268660	288010	273670	273670	276780	1.05	1	1.04	0.069	0.005	0.053	PDE6B	5158
2	34	0.23	B10	sample	sample	520140	442070	359800	442070	440670	1.07	1.03	0.989	0.091	0.047	-0.016	ASS1	445
1	31	0.23	B07	sample	sample	253360	296570	280790	280790	276906.666666667	0.989	1.03	1.06	-0.016	0.047	0.09	AK2	204
2	77	0.21	D05	sample	sample	517110	441110	324380	441110	427533.333333333	1.06	1.03	0.891	0.083	0.044	-0.166	PDE6D	5147
2	205	0.21	I13	sample	sample	539750	429880	376400	429880	448676.666666667	1.11	1	1.03	0.144	0.007	0.049	CTPS2	56474
2	212	0.19	I20	sample	sample	476370	439760	380080	439760	432070	0.976	1.03	1.04	-0.036	0.04	0.063	GCLC	2729
2	81	0.18	D09	sample	sample	492200	465340	374560	465340	444033.333333333	1.01	1.09	1.03	0.011	0.121	0.042	PFKP	5214
1	92	0.18	D20	sample	sample	244490	301010	271440	271440	272313.333333333	0.955	1.05	1.03	-0.067	0.068	0.041	SLC29A1	2030
1	261	0.17	K21	sample	sample	212900	294270	291620	291620	266263.333333333	0.831	1.02	1.11	-0.267	0.036	0.145	SLC29A3	55315
2	101	0.14	E05	sample	sample	499960	436690	325480	436690	420710	1.02	1.02	0.894	0.034	0.029	-0.161	SLC38A7	55238
2	208	0.12	I16	sample	sample	470220	445930	370900	445930	429016.666666667	0.963	1.04	1.02	-0.054	0.06	0.027	FASN	2194
2	91	0.11	D19	sample	sample	485070	457460	370620	457460	437716.666666667	0.993	1.07	1.02	-0.01	0.096	0.026	SLC25A12	8604
1	235	0.11	J19	sample	sample	239120	303820	268520	268520	270486.666666667	0.934	1.06	1.02	-0.099	0.082	0.026	PAICS	10606
1	268	0.11	L04	sample	sample	266070	240520	268470	266070	258353.333333333	1.04	0.838	1.02	0.055	-0.255	0.025	SLC36A4	120103
2	59	0.1	C11	sample	sample	516510	434060	331160	434060	427243.333333333	1.06	1.01	0.91	0.081	0.021	-0.136	IMPDH1	3614
2	242	0.1	K02	sicon2	sicon2	477570	433830	390860	433830	434086.666666667	0.978	1.01	1.07	-0.032	0.02	0.103	NA	NA
2	146	0.1	G02	allstar	allstar	481370	433810	384750	433810	433310	0.986	1.01	1.06	-0.021	0.02	0.08	NA	NA
2	258	0.09	K18	sample	sample	494740	433230	388110	433230	438693.333333333	1.01	1.01	1.07	0.019	0.018	0.093	SLC1A5	6510
2	244	0.09	K04	sample	sample	518360	425540	369050	425540	437650	1.06	0.995	1.01	0.086	-0.008	0.02	PDE6B	5158
2	222	0.09	J06	sample	sample	486800	433270	373650	433270	431240	0.997	1.01	1.03	-0.004	0.018	0.038	GMPS	8833
1	271	0.07	L07	sample	sample	277500	289930	222900	277500	263443.333333333	1.08	1.01	0.845	0.116	0.014	-0.243	SLC7A5	8140
2	167	0.07	G23	allstar	allstar	493030	424840	430380	430380	449416.666666667	1.01	0.993	1.18	0.014	-0.01	0.242	NA	NA
1	101	0.04	E05	sample	sample	273590	267610	265430	267610	268876.666666667	1.07	0.932	1.01	0.095	-0.101	0.009	SLC38A7	55238
2	273	0.02	L09	sample	sample	532190	423510	365160	423510	440286.666666667	1.09	0.99	1	0.124	-0.015	0.005	UAP1L1	91373
2	78	0.02	D06	sample	sample	498430	429150	342140	429150	423240	1.02	1	0.94	0.03	0.004	-0.089	PDE8A	5151
2	219	0.02	J03	sample	sample	489670	455550	359640	455550	434953.333333333	1	1.06	0.988	0.004	0.09	-0.017	GLUD1	2746
1	105	0.02	E09	sample	sample	256780	288230	241610	256780	262206.666666667	1	1	0.916	0.004	0.006	-0.127	UAP1L1	91373
2	105	0.01	E09	sample	sample	471830	428750	366810	428750	422463.333333333	0.966	1	1.01	-0.05	0.003	0.011	UAP1L1	91373
2	40	0.01	B16	sample	sample	488670	376880	371910	376880	412486.666666667	1	0.881	1.02	0.001	-0.183	0.031	FASN	2194
1	30	0	B06	sample	sample	246820	287290	285400	285400	273170	0.964	1	1.08	-0.053	0.001	0.114	ADCY9	115
2	92	0	D20	sample	sample	456430	428210	364100	428210	416246.666666667	0.935	1	1	-0.097	0.001	0.001	SLC29A1	2030
2	199	0	I07	sample	sample	472590	428010	365900	428010	422166.666666667	0.968	1	1.01	-0.047	0	0.008	AK2	204
2	232	0	J16	sample	sample	502570	425120	363920	425120	430536.666666667	1.03	0.994	1	0.042	-0.009	0	NPR1	4881
2	268	0	L04	sample	sample	497170	417630	363900	417630	426233.333333333	1.02	0.976	1	0.026	-0.035	0	SLC36A4	120103
1	87	-0.01	D15	sample	sample	277900	281390	263460	277900	274250	1.09	0.98	0.999	0.118	-0.029	-0.002	SERINC1	57515
2	250	-0.01	K10	sample	sample	493890	413890	363430	413890	423736.666666667	1.01	0.967	0.999	0.016	-0.048	-0.002	PPAT	5471
1	84	-0.02	D12	sample	sample	255440	282530	264890	264890	267620	0.997	0.984	1	-0.004	-0.023	0.006	PRPS1	5631
1	100	-0.02	E04	sample	sample	256220	286100	232100	256220	258140	1	0.996	0.88	0.001	-0.005	-0.185	SLC36A4	120103
2	83	-0.03	D11	sample	sample	495960	426300	351810	426300	424690	1.02	0.996	0.967	0.022	-0.005	-0.049	PQLC2	54896
2	255	-0.04	K15	sample	sample	485430	387640	365160	387640	412743.333333333	0.994	0.906	1	-0.009	-0.142	0.005	SERINC1	57515
1	200	-0.05	I08	sample	sample	252830	294150	261660	261660	269546.666666667	0.987	1.02	0.992	-0.019	0.035	-0.012	AK7	122481
1	234	-0.07	J18	sample	sample	253460	319200	234590	253460	269083.333333333	0.99	1.11	0.889	-0.015	0.153	-0.169	NT5C3A	51251
1	198	-0.08	I06	sample	sample	233670	284020	265970	265970	261220	0.912	0.989	1.01	-0.132	-0.016	0.012	ADCY9	115
2	259	-0.09	K19	sample	sample	479060	422350	364320	422350	421910	0.981	0.987	1	-0.028	-0.019	0.002	SLC25A12	8604
1	98	-0.1	E02	allstar	allstar	213760	287010	259650	259650	253473.333333333	0.835	1	0.984	-0.261	-0.001	-0.023	NA	NA
2	218	-0.12	J02	sicon2	sicon2	440860	420760	374370	420760	411996.666666667	0.903	0.983	1.03	-0.147	-0.024	0.041	NA	NA
2	235	-0.12	J19	sample	sample	479940	434300	348460	434300	420900	0.983	1.02	0.958	-0.025	0.021	-0.063	PAICS	10606
2	82	-0.12	D10	sample	sample	471970	437290	356910	437290	422056.666666667	0.967	1.02	0.981	-0.049	0.031	-0.028	PPAT	5471
2	90	-0.12	D18	sample	sample	479720	429580	329860	429580	413053.333333333	0.982	1	0.906	-0.026	0.006	-0.142	SLC1A5	6510
1	228	-0.14	J12	sample	sample	251090	260450	264120	260450	258553.333333333	0.98	0.907	1	-0.029	-0.141	0.002	ITGB3BP	23421
1	53	-0.14	C05	sample	sample	251010	253840	269180	253840	258010	0.98	0.884	1.02	-0.029	-0.178	0.029	GLUL	2752
1	242	-0.15	K02	sicon2	sicon2	264850	257750	257430	257750	260010	1.03	0.898	0.976	0.048	-0.156	-0.035	NA	NA
2	234	-0.16	J18	sample	sample	477170	395420	371620	395420	414736.666666667	0.977	0.924	1.02	-0.033	-0.114	0.03	NT5C3A	51251
2	252	-0.16	K12	sample	sample	481970	401440	354720	401440	412710	0.987	0.938	0.975	-0.019	-0.092	-0.037	PRPS1	5631
2	245	-0.16	K05	sample	sample	508670	417970	353600	417970	426746.666666667	1.04	0.977	0.972	0.059	-0.034	-0.041	PDE6D	5147
1	122	-0.16	F02	allstar	allstar	293510	272430	257000	272430	274313.333333333	1.15	0.949	0.974	0.197	-0.076	-0.038	NA	NA
2	226	-0.17	J10	sample	sample	499460	383410	354300	383410	412390	1.02	0.896	0.974	0.033	-0.158	-0.039	HPRT1	3251
